"","StartDate","EndDate","ResponseId","Country","cond","condName","WEPTcc","BELIEFcc","POLICYcc","SHAREcc","Intervention_order","Belief1","Belief2","Belief3","Belief4","Policy1","Policy2","Policy3","Policy4","Policy5","Policy6","Policy7","Policy8","Policy9","Trust_sci1_1","Trust_sci2_1","Trust_gov_1","ID_hum_1","ID_GC_1","Enviro_ID_1","Enviro_ID_2","Enviro_ID_3","Enviro_ID_4","Enviro_motiv_1","Enviro_motiv_11","Enviro_motiv_12","Enviro_motiv_13","Enviro_motiv_14","Enviro_motiv_15","Enviro_motiv_16","Enviro_motiv_17","Enviro_motiv_18","Enviro_motiv_20","PlurIgnoranceItem_1","probe_CC_1","probe_GW_1","probe_GH_1","probe_CCrisis_1","probe_GE_1","probe_CE_1","probe_CP_1","probe_CEmerg_1","probe_CPoll_1","Gender","Age","Politics2_1","Politics2_9","Edu","Income","Indirect_SES","MacArthur_SES","PerceivedSciConsensu_1","Intro_Timer","condition_time_total","ide","ide_c","age_c","income_c","edu_c","ide_low","ide_high","GenderBin","gend_effects","cond_effects","belief_avg","policy_avg","USA_E","Poland_E","Sweden_E","Chile_E","Netherlands_E","UK_E","Italy_E","Nigeria_E","Germany_E","France_E","Japan_E","Russia_E","Israel_E","Brazil_E","Canada_E","Switzerland_E","Belgium_E","ID","ide_Bin","PowerShift","Congruence"
"1","2/9/23 12:33","2/9/23 12:43","R_2ATgV5VxewrTRiI","USA",1,"Control",0,50.25,66.22222222,0,"PolicySupport|BeliefinAnthrCC|SocialmediasharingPipedText",49,50,51,51,1,99,99,48,100,99,50,99,1,50,51,50,72,48,68,69,63,59,51,50,50,52,50,50,51,49,51,50,51,NA,NA,NA,NA,NA,NA,51,NA,NA,1,39,87,72,3,4,"1,2,3,4,5,6,7",5,51,16.284,200.742,79.5,27.61966,-2.71985,-0.238184,0.151975,57.61966,-2.38034,0,-0.5,-0.5,50.25,66.2222222222222,0.941176470588235,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,1,1,NA,0
"2","2/9/23 12:32","2/9/23 12:49","R_86ZtSqIEAak8Lx7","USA",6,"SystemJust",8,42.75,51.8,1,"SocialmediasharingPipedText|PolicySupport|BeliefinAnthrCC",29,31,55,56,50,NA,NA,56,43,70,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,47,6,8,2,2,"2,6",3,23,8.677,52.979,7,-44.88034,5.28015,-2.238184,-0.848025,-14.88034,-74.88034,1,0.5,0.5,42.75,NA,0.941176470588235,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,2,0,NA,1
"3","2/10/23 0:15","2/10/23 0:35","R_1CjFxfgjU1coLqp","USA",1,"Control",1,100,100,0,"BeliefinAnthrCC|PolicySupport|SocialmediasharingPipedText",100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,51,100,100,99,100,100,100,0,0,0,0,0,100,0,100,100,100,70,NA,90,NA,NA,NA,NA,NA,NA,NA,2,50,3,5,4,NA,"1,3,4,5,6,7",9,96,16.697,367.657,4,-47.88034,8.28015,NA,1.151975,-17.88034,-77.88034,1,0.5,-0.5,100,100,0.941176470588235,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,3,0,NA,1
"4","2/10/23 6:27","2/10/23 6:35","R_1jxeVcEEPu6wfDB","USA",6,"SystemJust",0,92.25,84.33333333,1,"BeliefinAnthrCC|SocialmediasharingPipedText|PolicySupport",93,89,94,93,86,90,86,85,86,85,84,89,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,71,53,52,3,5,"1,2,3,4,5,6,7",6,95,15.547,132.687,52.5,0.619660000000003,29.28015,0.761816,0.151975,30.61966,-29.38034,0,-0.5,0.5,92.25,84.3333333333333,0.941176470588235,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,4,1,NA,0
"5","2/10/23 6:27","2/10/23 6:40","R_qxty9a2HTTEq7Xb","USA",1,"Control",8,30.25,66.44444444,0,"BeliefinAnthrCC|PolicySupport|SocialmediasharingPipedText",3,78,3,37,0,100,96,100,1,99,100,100,2,22,19,1,99,65,87,88,90,84,6,8,3,4,4,92,4,93,98,91,55,NA,62,NA,NA,NA,NA,NA,NA,NA,1,36,48,49,3,5,"2,3,4,5,6,7",6,76,24.055,79.902,48.5,-3.38034,-5.71985,0.761816,0.151975,26.61966,-33.38034,0,-0.5,-0.5,30.25,66.4444444444444,0.941176470588235,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,5,0,NA,1
"6","2/10/23 6:27","2/10/23 6:50","R_9zylrgckWU9mz6x","USA",6,"SystemJust",8,0,13.77777778,0,"SocialmediasharingPipedText|PolicySupport|BeliefinAnthrCC",0,0,0,0,0,43,0,0,0,44,0,37,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,53,100,100,3,4,"1,2,3,4,6,7",3,73,14.883,91.698,100,48.11966,11.28015,-0.238184,0.151975,78.11966,18.11966,1,0.5,0.5,0,13.7777777777778,0.941176470588235,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,6,1,NA,0
"7","2/10/23 12:14","2/10/23 12:43","R_daqxUtmdRdFE2Fr","USA",6,"SystemJust",8,100,100,NA,"PolicySupport|BeliefinAnthrCC|SocialmediasharingPipedText",100,100,100,100,100,100,100,100,100,100,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,71,50,51,2,3,"1,2,3,4,6,7",3,100,10.905,135.365,50.5,-1.38034,29.28015,-1.238184,-0.848025,28.61966,-31.38034,1,0.5,0.5,100,100,0.941176470588235,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,7,1,NA,0
"8","2/10/23 12:38","2/10/23 13:01","R_2QW2fJEzh1ev4fa","USA",1,"Control",8,47.75,NA,NA,"SocialmediasharingPipedText|BeliefinAnthrCC|PolicySupport",45,49,50,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,80,100,50,100,90,50,50,0,0,0,0,0,50,0,0,50,50,50,NA,NA,NA,81,NA,NA,NA,NA,NA,1,51,NA,NA,3,1,"1,2,3,4,5,6,7",6,80,24.115,310.565,NA,NA,9.28015,-3.238184,0.151975,NA,NA,0,-0.5,-0.5,47.75,NA,0.941176470588235,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,8,NA,NA,NA
"9","2/10/23 16:38","2/10/23 16:55","R_1Ejk27WOHBp2Jko","USA",6,"SystemJust",0,2,3.555555556,NA,"SocialmediasharingPipedText|BeliefinAnthrCC|PolicySupport",2,1,3,2,0,0,0,0,0,12,0,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,35,92,88,2,1,"6,7",1,1,7.817,280.367,90,38.11966,-6.71985,-3.238184,-0.848025,68.11966,8.11966,1,0.5,0.5,2,3.55555555555556,0.941176470588235,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,9,1,NA,0
"10","2/10/23 17:27","2/10/23 17:39","R_3JxXgdsSWz6S58t","USA",6,"SystemJust",0,100,99.44444444,0,"SocialmediasharingPipedText|PolicySupport|BeliefinAnthrCC",100,100,100,100,100,99,99,100,100,98,100,100,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,71,20,21,3,3,"2,3,5,6,7",2,98,91.754,94.464,20.5,-31.38034,29.28015,-1.238184,0.151975,-1.38034,-61.38034,0,-0.5,0.5,100,99.4444444444444,0.941176470588235,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,-0.0588235294117647,10,0,NA,1
